ecart,psnr,,,,,,,,psnr_moy,
"0,01",33,"32,9",35,37,"32,4",,,,"34,06","1,92041662146525"
"0,001",60,"64,7","60,6",69,"59,1",,,,"62,68","4,13364246155857"
"0,005",50,"43,5","42,8","48,3","44,9",,,,"45,9","3,12009615236454"
"0,0001",80,"83,2","86,86","87,24","81,6",,,,"83,78","3,1951212809532"
"0,0005",68,"69,4","68,4","64,9","69,3",,,,68,"1,83166590840142"
"0,05",11,"8,8","10,8","10,01","10,3",,,,"10,182","0,866671794856623"
"0,1","8,2","7,4","7,5","8,8","7,7",7,"8,1","8,5","7,9","0,604743156814764"
"0,03","16,1","17,9","16,7","17,1","16,5",,,,"16,86","0,684105255059482"
"0,003","49,9","55,3","55,6","59,9","49,1","58,2","51,04","48,3","53,4175","4,4087113439514"
"0,3","7,6","7,38","6,87","7,4","7,25",,,,"7,3","0,271016604657353"
"0,5","8,06","7,87","7,83","7,9","8,1","8,3","8,4",,"8,06571428571429","0,219534138792212"
1,"7,1","7,4","7,4","8,1","9,6","6,66",,,"7,71","1,03836409799261"
3,"7,6","7,7","7,46","7,29","7,75","7,9","5,94","6,7","7,2925","0,65979975317191"
5,"7,98","7,6","7,02","7,28","7,49","7,7","7,33",,"7,48571428571429","0,312722301883377"
